# Original file: "vega_c95.fits"
# this is the vega spectrum from ATLAS12
# It covers 0.09 - 2.6 microns with uniform spacing of 0.1nm
# downloaded from here: ftp://ftp.stsci.edu/cdbs/grid/k93models/standards/
# see the readme there for more details.
#
# wavelength units are angstroms
# flux units are erg cm-2 s-1 angstrom-1

wavelength flux
1639.500 5.44953E-09
1640.500 5.62155E-09
1641.500 6.57052E-09
1642.500 6.27075E-09
1643.500 6.15327E-09
1644.500 6.82455E-09
1645.500 6.93277E-09
1646.500 6.95459E-09
1647.500 6.25302E-09
1648.500 7.40335E-09
1649.500 5.20781E-09
1650.500 6.30760E-09
1651.500 6.66378E-09
1652.500 7.17656E-09
1653.500 6.42933E-09
1654.500 4.85349E-09
1655.500 6.02303E-09
1656.500 2.54034E-09
1657.500 1.67927E-09
1658.500 3.73414E-09
1659.500 5.84367E-09
1660.500 6.48659E-09
1661.500 6.41923E-09
1662.500 6.39015E-09
1663.500 4.95134E-09
1664.500 6.55401E-09
1665.500 6.99843E-09
1666.500 6.33936E-09
1667.500 6.24383E-09
1668.500 6.46365E-09
1669.500 5.96100E-09
1670.500 2.36466E-09
1671.500 4.63498E-09
1672.500 5.92147E-09
1673.500 5.90545E-09
1674.500 4.45827E-09
1675.500 5.95367E-09
1676.500 5.69727E-09
1677.500 6.72805E-09
1678.500 6.59825E-09
1679.500 5.36242E-09
1680.500 7.14324E-09
1681.500 6.82844E-09
1682.500 7.00168E-09
1683.500 6.29031E-09
1684.500 6.93702E-09
1685.500 6.49550E-09
1686.500 5.26794E-09
1687.500 6.57001E-09
1688.500 5.99362E-09
1689.500 6.43803E-09
1690.500 6.30323E-09
1691.500 6.23251E-09
1692.500 6.30396E-09
1693.500 5.35881E-09
1694.500 5.92409E-09
1695.500 6.50359E-09
1696.500 4.08845E-09
1697.500 5.96250E-09
1698.500 6.05265E-09
1699.500 6.33355E-09
1700.500 5.21152E-09
1701.500 5.92956E-09
1702.500 5.33907E-09
1703.500 6.13323E-09
1704.500 5.79972E-09
1705.500 6.86088E-09
1706.500 5.83326E-09
1707.500 5.03023E-09
1708.500 5.22814E-09
1709.500 5.37854E-09
1710.500 6.39827E-09
1711.500 5.20055E-09
1712.500 6.53682E-09
1713.500 5.26802E-09
1714.500 5.84134E-09
1715.500 5.78463E-09
1716.500 5.91596E-09
1717.500 5.15269E-09
1718.500 5.72401E-09
1719.500 5.79981E-09
1720.500 4.60852E-09
1721.500 5.58562E-09
1722.500 5.89069E-09
1723.500 6.72353E-09
1724.500 4.89178E-09
1725.500 6.27776E-09
1726.500 3.96693E-09
1727.500 5.78695E-09
1728.500 6.22549E-09
1729.500 6.69841E-09
1730.500 5.96500E-09
1731.500 4.96753E-09
1732.500 6.45832E-09
1733.500 6.10211E-09
1734.500 5.41424E-09
1735.500 5.82042E-09
1736.500 6.87705E-09
1737.500 5.13622E-09
1738.500 6.32928E-09
1739.500 6.91991E-09
1740.500 5.76174E-09
1741.500 5.33420E-09
1742.500 5.50834E-09
1743.500 5.56743E-09
1744.500 6.38794E-09
1745.500 5.93133E-09
1746.500 5.92477E-09
1747.500 5.97206E-09
1748.500 6.27287E-09
1749.500 5.38989E-09
1750.500 6.35821E-09
1751.500 5.43325E-09
1752.500 6.68022E-09
1753.500 6.14316E-09
1754.500 6.41476E-09
1755.500 6.80711E-09
1756.500 6.88582E-09
1757.500 6.36657E-09
1758.500 5.94741E-09
1759.500 6.46883E-09
1760.500 4.60173E-09
1761.500 5.68677E-09
1762.500 6.11187E-09
1763.500 5.23003E-09
1764.500 5.90696E-09
1765.500 4.27260E-09
1766.500 5.12567E-09
1767.500 5.94322E-09
1768.500 6.19686E-09
1769.500 4.98257E-09
1770.500 5.75500E-09
1771.500 6.07455E-09
1772.500 5.33799E-09
1773.500 6.40873E-09
1774.500 6.25834E-09
1775.500 6.48858E-09
1776.500 5.26752E-09
1777.500 6.26414E-09
1778.500 6.56392E-09
1779.500 6.41544E-09
1780.500 6.59602E-09
1781.500 5.90301E-09
1782.500 5.88040E-09
1783.500 6.35599E-09
1784.500 6.67592E-09
1785.500 5.39828E-09
1786.500 5.11721E-09
1787.500 6.04406E-09
1788.500 5.33458E-09
1789.500 6.56239E-09
1790.500 6.71497E-09
1791.500 6.80664E-09
1792.500 6.90102E-09
1793.500 6.02749E-09
1794.500 6.80958E-09
1795.500 6.21007E-09
1796.500 6.55278E-09
1797.500 6.34514E-09
1798.500 6.14868E-09
1799.500 6.37900E-09
1800.500 6.75957E-09
1801.500 6.85375E-09
1802.500 6.61411E-09
1803.500 6.34173E-09
1804.500 5.92776E-09
1805.500 5.99757E-09
1806.500 6.75773E-09
1807.500 5.09656E-09
1808.500 5.82617E-09
1809.500 5.51332E-09
1810.500 6.64081E-09
1811.500 6.37505E-09
1812.500 6.11337E-09
1813.500 6.71350E-09
1814.500 5.74737E-09
1815.500 5.73891E-09
1816.500 5.96376E-09
1817.500 5.44964E-09
1818.500 6.03847E-09
1819.500 6.45904E-09
1820.500 5.09187E-09
1821.500 6.66524E-09
1822.500 5.74398E-09
1823.500 5.71712E-09
1824.500 5.89392E-09
1825.500 6.03371E-09
1826.500 5.64290E-09
1827.500 5.61358E-09
1828.500 5.87846E-09
1829.500 6.10168E-09
1830.500 5.31177E-09
1831.500 5.19678E-09
1832.500 5.40229E-09
1833.500 5.54841E-09
1834.500 6.35942E-09
1835.500 5.67841E-09
1836.500 6.14858E-09
1837.500 5.87241E-09
1838.500 5.96850E-09
1839.500 5.28200E-09
1840.500 5.56996E-09
1841.500 3.96886E-09
1842.500 5.33642E-09
1843.500 4.97147E-09
1844.500 5.68385E-09
1845.500 5.72225E-09
1846.500 4.51469E-09
1847.500 5.24013E-09
1848.500 4.87991E-09
1849.500 6.36589E-09
1850.500 5.61497E-09
1851.500 5.60686E-09
1852.500 5.07574E-09
1853.500 5.06535E-09
1854.500 5.13868E-09
1855.500 5.92548E-09
1856.500 5.89342E-09
1857.500 5.62527E-09
1858.500 5.48578E-09
1859.500 5.46708E-09
1860.500 5.02359E-09
1861.500 5.89086E-09
1862.500 5.08943E-09
1863.500 5.98330E-09
1864.500 4.79146E-09
1865.500 5.89766E-09
1866.500 5.76603E-09
1867.500 5.52516E-09
1868.500 5.73411E-09
1869.500 5.44868E-09
1870.500 5.34098E-09
1871.500 5.97177E-09
1872.500 5.65480E-09
1873.500 6.00039E-09
1874.500 5.60621E-09
1875.500 5.92688E-09
1876.500 5.11899E-09
1877.500 5.59469E-09
1878.500 5.77948E-09
1879.500 6.17045E-09
1880.500 4.71272E-09
1881.500 5.27865E-09
1882.500 6.23764E-09
1883.500 5.84113E-09
1884.500 6.03059E-09
1885.500 5.68500E-09
1886.500 5.82552E-09
1887.500 6.00828E-09
1888.500 4.94376E-09
1889.500 6.04772E-09
1890.500 5.40786E-09
1891.500 6.06943E-09
1892.500 5.63400E-09
1893.500 5.57945E-09
1894.500 5.96253E-09
1895.500 5.42956E-09
1896.500 6.07387E-09
1897.500 5.24282E-09
1898.500 5.46192E-09
1899.500 5.54328E-09
1900.500 5.27848E-09
1901.500 5.01759E-09
1902.500 5.56671E-09
1903.500 5.46210E-09
1904.500 5.36274E-09
1905.500 5.24081E-09
1906.500 5.20735E-09
1907.500 5.37188E-09
1908.500 5.60918E-09
1909.500 5.43322E-09
1910.500 4.87739E-09
1911.500 5.40660E-09
1912.500 6.05808E-09
1913.500 6.20341E-09
1914.500 5.63152E-09
1915.500 5.07422E-09
1916.500 6.09225E-09
1917.500 5.67060E-09
1918.500 5.16163E-09
1919.500 5.96179E-09
1920.500 5.94168E-09
1921.500 5.75776E-09
1922.500 5.63182E-09
